서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
의원,1060152912,2947,74,26,0,3,3
서적/문구,124223954,1120,29,71,0,3,25
서적/문구,542141696,2442,89,11,0,1,2
미용,6657899169,30966,33,67,0,3,18
스포츠,49045147,477,82,18,0,25,6
생활,1598105887,4461,52,49,0,5,14
생활,788421978,7671,62,38,0,4,7
생활,159166761,2178,82,18,0,3,9
생활,956162637,1123,27,73,0,2,1
음식점,11029562942,451359,60,40,1,16,17
음식점,315482718,16105,64,36,2,16,17
음식점,253493415,9352,55,45,1,32,17
음식점,217666895,12493,59,41,2,23,21
제과/음료,999683497,110565,45,55,1,18,22
음식점,301731972,26543,51,50,2,33,18
음식점,630402485,34902,65,35,1,19,17
음식점,1147699706,87418,54,46,1,24,22
호프-간이주점,865303770,25465,66,34,1,30,17
제과/음료,2068758453,255462,36,64,3,47,19
학원,580555724,1852,59,41,0,0,2
학원,542616214,2068,48,52,0,0,17
학원,230615915,1560,19,82,0,17,14
스포츠,65056859,275,52,48,0,14,21
의원,3336567929,150512,48,52,3,12,16
의원,2162309556,17363,50,50,0,9,10
의원,319031843,12417,54,46,2,10,13
여가,30693704,2386,94,6,1,13,8
스포츠,83603012,1513,70,30,0,0,8
여가,583447806,117474,90,10,3,69,21
스포츠,11631054,50,45,55,0,49,13
미용,670653703,21833,45,55,1,21,22
미용,10326546,66,2,98,0,2,16
미용,72584132,652,64,36,0,3,36
생활,263390281,16913,35,65,0,8,23
생활,271411516,5283,89,11,0,0,9
여가,219655638,8714,82,18,3,21,8
마트/편의점,3291188888,237143,52,48,0,11,17
마트/편의점,3423842293,550856,69,31,1,31,24
생활,148699712,5082,40,60,0,32,4
농수산물,2043308317,53695,45,55,0,3,9
농수산물,188686011,8662,41,59,0,7,9
농수산물,669655631,38680,40,60,0,6,9
의류/신발,514199036,9874,18,82,0,4,6
의류/신발,38131255,1537,42,58,0,6,3
생활,256036716,2792,55,45,1,14,19
생활,49215014,343,49,51,0,1,6
의원,1993235311,184040,50,50,0,9,14
의원,115416945,439,57,43,0,4,0
서적/문구,435212172,4383,87,13,0,3,7
미용,7016136057,30721,32,68,0,3,18
생활,1598105887,4461,52,49,0,5,14
생활,181622756,7239,68,32,0,21,20
생활,356269606,5436,90,10,0,3,5
생활,7513540,592,38,62,0,0,9
생활,15028246,219,39,61,0,40,0
음식점,3368096335,167541,61,39,1,20,16
음식점,178531553,9310,56,44,4,26,17
음식점,166820456,5915,55,45,2,30,18
음식점,125671953,4603,54,46,3,29,20
제과/음료,515021429,55411,43,57,1,22,21
음식점,672896495,56702,53,47,3,33,22
음식점,339622318,17157,61,39,1,22,15
음식점,353304187,25609,44,56,2,20,19
호프-간이주점,465578992,15142,61,39,3,53,19
제과/음료,1794027340,224937,37,64,3,49,18
학원,26840646,156,43,57,0,0,0
학원,165559627,1223,19,81,0,24,17
스포츠,93022576,467,39,61,1,9,23
의원,373729860,28238,53,48,0,14,9
의원,675735853,5658,46,54,0,12,8
여가,91184973,5439,83,17,1,12,8
여가,151447806,32529,87,13,7,65,19
미용,84647671,3441,43,57,0,16,17
미용,4749913,35,4,96,0,4,34
미용,5626659,49,76,25,0,0,6
여가,106141391,9328,72,28,7,40,11
마트/편의점,168318153,40116,74,26,6,28,18
마트/편의점,1271978512,257929,69,31,3,36,20
생활,17391392,1605,45,55,0,34,0
농수산물,73119112,2487,47,53,0,4,15
농수산물,39811611,927,66,35,1,25,18
의류/신발,31212712,396,28,72,0,18,12
생활,124305303,1368,57,43,1,15,15
서적/문구,202845940,7089,41,59,4,19,12
미용,44864373,1073,15,85,1,57,3
생활,102000000,2612,62,38,0,12,31
생활,13159576,122,45,55,0,0,0
음식점,11588439870,361579,63,37,0,12,18
음식점,294851606,16165,70,31,1,15,20
음식점,236571907,5687,63,37,1,19,26
음식점,150956871,8385,58,42,2,18,22
제과/음료,318721024,31853,41,59,1,20,22
음식점,214003701,12595,56,44,1,19,17
음식점,268438017,13410,64,36,1,17,18
음식점,521644216,50380,54,46,1,19,21
호프-간이주점,812760891,20221,64,36,1,32,15
제과/음료,911524153,156413,48,52,2,32,22
학원,551380408,2052,42,58,1,0,1
학원,468442317,1959,41,60,1,0,7
학원,289036040,1227,39,61,0,4,23
스포츠,206567114,686,19,81,0,43,35
의원,2479714420,124181,42,58,0,11,15
의원,1934740268,15360,41,60,0,6,16
의원,558783550,20540,35,66,0,2,11
여가,85813074,5120,79,21,1,6,14
스포츠,208326977,5673,79,21,0,8,20
스포츠,189703578,1131,47,53,1,34,22
미용,502811072,13861,39,61,1,13,21
미용,31620996,486,3,97,0,3,4
미용,55533135,362,86,14,0,6,49
생활,375957924,21928,33,67,0,8,20
생활,194203927,5640,80,20,0,0,42
여가,254098111,2353,93,8,0,2,8
마트/편의점,4376761388,334224,45,55,0,9,15
마트/편의점,3204380027,500707,67,33,1,24,25
생활,129204472,1229,75,25,0,0,0
생활,115293546,3816,78,22,0,6,27
